City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Mumbai,2023-09-11,154,182.61,183.35,51.1,38.04,2.38,27.24
Hyderabad,2023-04-14,118,106.12,191.21,7.08,70.03,2.34,86.94
Bangalore,2023-05-13,165,185.27,218.03,22.54,46.95,1.6,66.5
Hyderabad,2023-10-23,171,169.68,274.99,19.12,20.4,0.58,32.02
Pune,2023-11-09,79,73.11,107.2,31.15,49.42,1.07,112.92
Delhi,2023-11-09,49,10.88,113.38,50.79,43.92,2.32,55.22
Delhi,2023-12-13,83,95.92,82.89,57.03,12.99,0.61,77.26
Kolkata,2023-12-10,114,69.18,238.54,36.92,19.17,0.69,79.7
Chennai,2023-03-25,116,97.21,176.05,103.97,43.74,0.62,48.44
Ahmedabad,2023-05-21,100,85.49,139.5,96.97,29.25,1.28,95.62
Hyderabad,2023-10-13,150,168.95,184.49,38.82,57.7,1.41,82.5
Chennai,2023-04-24,131,104.43,234.3,16.84,28.08,0.37,114.22
Delhi,2023-06-11,57,87.66,27.11,22.96,57.85,1.72,8.93
Pune,2023-11-19,92,53.9,208.13,7.27,10.12,2.04,30.89
Chennai,2023-04-02,54,55.25,47.84,32.96,58.34,2.17,125.38
Bangalore,2023-06-14,68,36.81,133.79,42.26,8.78,1.66,111.71
Hyderabad,2023-05-27,111,33.33,265.4,78.94,56.91,2.29,95.59
Mumbai,2023-08-22,129,166.77,121.66,8.94,66.79,0.99,117.21
Chennai,2023-08-14,130,173.6,81.46,117.07,62.82,0.46,87.04
Mumbai,2023-08-03,129,161.97,139.06,7.58,22.96,1.45,96.85
Pune,2023-07-20,110,36.48,253.78,118.21,43.0,0.59,44.48
Mumbai,2023-11-22,121,183.72,52.97,71.3,23.38,1.47,99.46
Delhi,2023-03-17,41,49.22,23.08,20.74,72.2,2.21,91.62
Bangalore,2023-08-25,105,136.36,69.1,110.16,34.66,1.08,80.24
Ahmedabad,2023-05-10,95,41.59,226.65,14.52,49.05,0.76,61.45
Ahmedabad,2023-01-11,116,77.58,221.33,39.17,46.18,1.29,101.23
Kolkata,2023-03-10,93,101.91,95.58,67.08,14.64,2.14,127.73
Mumbai,2023-12-31,88,39.39,194.53,59.54,28.86,1.01,64.86
Hyderabad,2023-04-14,88,92.62,88.99,99.2,64.35,1.8,44.46
Delhi,2023-01-12,68,78.59,45.64,110.49,12.67,2.39,69.67
Pune,2023-01-12,153,112.96,264.42,89.21,64.91,1.72,105.38
Kolkata,2023-07-19,83,57.44,157.04,30.44,79.04,2.37,10.72
Delhi,2023-01-16,130,185.8,70.56,70.31,73.41,0.28,106.13
Chennai,2023-06-25,73,31.9,138.09,96.46,60.12,0.33,71.0
Mumbai,2023-04-13,73,17.03,186.96,31.45,11.4,0.38,105.96
Ahmedabad,2023-07-02,115,86.85,180.28,97.46,44.0,1.72,111.99
Chennai,2023-01-16,132,91.1,265.47,53.01,38.03,2.48,5.03
Hyderabad,2023-05-21,128,82.95,281.13,13.05,2.74,0.32,17.84
Kolkata,2023-09-02,113,101.16,182.61,36.24,33.07,0.41,53.77
Bangalore,2023-03-06,50,55.37,50.93,45.78,24.4,0.88,38.87
Chennai,2023-07-12,111,182.96,32.63,17.59,32.55,0.49,143.68
Hyderabad,2023-03-02,107,59.21,184.8,117.97,70.97,1.58,136.04
Delhi,2023-06-02,101,151.24,38.2,51.18,67.35,0.73,125.44
Kolkata,2023-11-26,58,18.92,127.55,9.22,76.67,2.1,121.11
Kolkata,2023-02-16,88,51.1,165.11,73.69,42.95,0.8,79.71
Delhi,2023-03-03,189,199.3,271.28,58.29,50.59,1.92,10.06
Bangalore,2023-12-23,104,27.38,265.69,35.54,12.1,2.24,143.57
Bangalore,2023-06-19,153,163.81,203.47,68.35,8.78,1.14,59.04
Ahmedabad,2023-09-08,124,147.45,158.85,14.32,19.17,1.77,16.04
Chennai,2023-04-24,114,104.08,154.56,73.13,66.33,1.0,103.31
Mumbai,2023-08-25,137,149.44,165.95,104.84,21.13,0.56,28.26
Hyderabad,2023-12-29,122,55.35,280.43,17.17,56.52,0.64,132.84
Hyderabad,2023-11-10,139,98.44,266.14,5.59,65.96,0.73,136.76
Delhi,2023-12-22,134,115.67,231.86,34.75,17.06,0.39,52.33
Chennai,2023-01-17,59,32.01,125.47,6.04,65.86,0.5,46.08
Pune,2023-03-15,134,92.13,255.23,50.1,16.0,1.93,119.38
Bangalore,2023-12-18,173,156.46,285.24,24.13,62.14,1.83,73.67
Kolkata,2023-04-30,105,18.69,264.03,116.95,77.57,1.92,23.86
Hyderabad,2023-01-07,94,22.47,250.02,47.76,65.87,0.78,5.15
Delhi,2023-08-14,153,199.45,139.33,56.91,14.76,2.03,105.58
Bangalore,2023-10-15,86,25.65,210.54,80.27,23.31,2.39,26.9
Bangalore,2023-01-21,186,182.81,260.06,115.92,61.29,1.22,50.23
Delhi,2023-01-15,115,151.71,76.1,104.83,57.76,1.49,73.37
Mumbai,2023-03-13,49,40.26,77.04,15.48,13.99,1.24,81.9
Pune,2023-12-15,43,34.94,29.11,110.9,50.1,2.03,74.82
Kolkata,2023-09-30,102,125.39,89.31,69.22,19.59,0.57,99.47
Hyderabad,2023-04-27,121,122.15,141.31,118.2,13.67,1.27,103.67
Delhi,2023-04-05,153,147.16,203.96,92.06,76.31,2.29,110.02
Mumbai,2023-03-29,42,37.73,48.78,70.65,3.43,1.31,35.5
Chennai,2023-07-21,168,157.4,283.55,13.33,43.67,2.23,16.96
Hyderabad,2023-04-26,90,77.98,110.19,117.41,17.67,1.79,124.11
Delhi,2023-11-01,129,190.79,54.78,108.07,48.39,1.62,93.88
Chennai,2023-07-23,165,175.48,219.94,97.2,28.48,2.07,16.62
Bangalore,2023-07-27,145,114.04,248.84,57.02,52.2,1.41,111.08
Mumbai,2023-01-12,62,56.95,64.67,105.26,19.1,2.44,53.85
Ahmedabad,2023-08-09,151,160.04,204.44,62.29,45.32,1.85,38.13
Ahmedabad,2023-11-08,164,195.21,202.09,27.95,55.06,0.37,9.44
Chennai,2023-11-28,122,43.1,289.02,52.83,68.01,1.65,111.63
Kolkata,2023-01-20,116,105.92,172.12,64.11,47.87,0.27,62.35
Bangalore,2023-03-07,149,123.57,242.03,80.33,79.39,0.85,57.08
Mumbai,2023-08-25,136,98.5,254.08,32.12,62.53,1.13,92.27
Delhi,2023-01-14,137,194.57,70.67,103.25,40.4,0.77,131.26
Pune,2023-01-14,105,107.82,120.59,73.19,14.75,1.1,145.56
Delhi,2023-06-12,114,134.78,111.05,93.95,12.21,2.43,70.8
Mumbai,2023-01-10,43,23.96,67.53,64.77,28.29,2.11,67.48
Bangalore,2023-09-21,137,127.26,217.9,24.21,15.07,0.28,111.78
Hyderabad,2023-07-23,140,100.18,256.37,97.65,47.66,2.2,34.85
Hyderabad,2023-11-30,76,20.85,168.73,112.71,5.07,0.48,70.57
Hyderabad,2023-02-28,92,70.07,162.03,9.78,13.57,2.47,144.94
Mumbai,2023-05-06,171,190.84,198.95,104.81,37.47,1.39,75.88
Bangalore,2023-10-21,38,36.53,28.39,40.41,56.97,0.66,102.65
Delhi,2023-12-07,90,27.84,208.33,56.03,69.72,0.61,105.43
Pune,2023-04-29,171,189.48,211.31,62.18,50.19,2.2,87.74
Bangalore,2023-11-24,180,161.15,277.23,74.07,75.39,2.1,101.71
Chennai,2023-03-31,73,76.23,64.6,74.57,26.81,2.19,149.03
Hyderabad,2023-03-14,55,27.19,100.83,17.55,52.74,1.96,139.22
Mumbai,2023-03-23,138,176.8,108.81,104.92,31.3,0.88,99.12
Hyderabad,2023-05-23,135,129.74,190.75,69.8,31.67,1.46,91.49
Ahmedabad,2023-10-18,52,53.18,40.49,74.4,54.12,1.62,72.21
Mumbai,2023-03-26,145,174.03,165.34,60.11,4.0,0.98,60.13
Delhi,2023-10-31,126,120.23,169.41,74.91,61.66,2.07,109.13
Mumbai,2023-01-21,48,47.2,22.12,79.46,72.05,0.76,139.42
Pune,2023-11-20,135,187.54,118.45,16.66,39.9,0.79,46.31
Mumbai,2023-06-06,141,162.57,170.97,40.8,49.61,1.85,44.53
Bangalore,2023-03-31,52,33.16,70.72,83.33,16.15,1.41,107.81
Ahmedabad,2023-08-29,104,117.79,91.84,115.74,39.72,2.05,84.78
Ahmedabad,2023-06-22,163,130.3,286.39,74.19,65.9,2.23,38.07
Chennai,2023-09-28,119,126.09,135.09,101.58,72.2,1.01,39.35
Hyderabad,2023-03-09,119,62.21,250.33,53.73,54.07,0.42,95.46
Chennai,2023-08-30,59,39.07,85.87,104.96,38.89,1.43,30.87
Hyderabad,2023-05-23,59,53.75,77.73,78.37,22.04,1.65,13.48
Chennai,2023-09-15,102,62.16,187.17,82.72,36.53,1.23,110.05
Mumbai,2023-10-07,43,34.39,49.15,88.3,47.11,0.83,16.52
Ahmedabad,2023-08-17,118,179.9,73.72,42.19,19.68,1.02,15.07
Chennai,2023-11-12,95,22.85,244.1,31.88,44.12,2.22,99.38
Kolkata,2023-10-27,86,71.62,113.24,81.99,79.54,1.72,85.88
Delhi,2023-10-13,102,73.38,182.53,15.21,77.01,1.66,114.45
Pune,2023-07-27,102,87.8,138.35,99.51,2.1,0.89,147.28
Mumbai,2023-05-24,75,82.68,53.55,117.03,3.56,1.9,116.45
Chennai,2023-05-01,93,137.6,46.02,34.56,63.46,2.19,93.23
Bangalore,2023-02-07,37,40.27,37.67,18.53,19.73,0.99,60.23
Delhi,2023-09-06,100,115.22,105.55,50.65,36.88,1.58,79.77
Mumbai,2023-05-23,189,198.51,258.4,28.98,74.59,0.47,123.53
Mumbai,2023-06-07,181,176.82,263.06,97.68,63.62,0.9,16.73
Hyderabad,2023-06-12,100,42.97,214.59,44.8,78.1,1.67,124.26
Chennai,2023-09-10,180,173.78,278.37,61.01,49.29,1.96,30.35
Mumbai,2023-01-25,93,136.6,54.09,60.0,41.48,0.73,16.59
Bangalore,2023-10-15,93,33.19,186.4,112.69,70.34,0.84,128.46
Ahmedabad,2023-12-15,71,13.36,188.71,46.95,32.14,1.5,32.81
Chennai,2023-05-10,130,102.07,231.19,76.24,25.19,1.19,29.75
Hyderabad,2023-11-25,117,158.71,94.31,25.44,55.95,1.62,96.81
Ahmedabad,2023-09-30,62,54.2,81.82,24.98,53.15,2.15,110.03
Hyderabad,2023-04-26,112,86.91,203.14,45.74,42.99,1.31,30.65
Hyderabad,2023-03-27,131,193.13,89.6,20.39,34.65,2.02,89.41
Pune,2023-11-10,90,46.04,193.31,42.2,67.08,1.65,33.83
Hyderabad,2023-06-22,54,18.1,123.99,35.57,52.4,1.35,43.57
Hyderabad,2023-10-09,106,34.17,262.1,33.0,52.83,2.06,94.04
Hyderabad,2023-02-11,180,159.15,269.78,114.86,63.38,0.93,104.78
Bangalore,2023-02-17,115,58.39,255.44,9.42,72.34,1.26,97.39
Delhi,2023-09-21,158,180.07,198.27,75.6,7.2,1.39,26.77
Ahmedabad,2023-03-28,84,139.24,31.67,14.75,57.87,0.37,15.33
Ahmedabad,2023-01-17,175,191.74,226.5,45.62,25.13,1.0,117.32
Pune,2023-01-28,92,77.42,135.4,68.21,66.78,0.36,66.52
Pune,2023-08-08,169,180.79,239.1,31.2,78.13,1.73,6.51
Bangalore,2023-11-20,151,157.18,200.29,65.98,5.27,2.43,120.81
Bangalore,2023-12-13,169,196.19,188.53,71.98,60.35,2.07,100.19
Mumbai,2023-01-10,129,74.27,279.86,30.83,31.03,1.19,68.71
Chennai,2023-04-24,128,189.18,87.39,18.97,17.4,2.24,98.64
Mumbai,2023-05-02,180,165.03,261.18,102.35,73.68,0.78,114.48
Hyderabad,2023-05-06,168,169.98,223.98,94.29,53.18,0.61,84.03
Mumbai,2023-12-11,112,188.1,32.09,23.95,12.27,1.87,123.58
Pune,2023-03-29,91,75.05,135.76,92.19,59.99,1.61,20.36
Pune,2023-01-30,157,175.93,198.16,92.53,14.49,1.26,6.35
Chennai,2023-12-30,168,148.03,297.71,16.41,33.32,2.04,34.59
Delhi,2023-10-29,93,127.04,72.65,45.87,63.14,1.47,5.76
Delhi,2023-11-10,86,16.71,228.81,28.29,76.73,1.05,52.41
Mumbai,2023-08-11,132,68.06,265.46,119.58,30.73,1.23,109.7
Ahmedabad,2023-08-15,82,36.19,205.65,5.22,15.91,0.27,29.2
Bangalore,2023-02-26,95,83.66,132.65,105.54,41.79,1.86,20.1
Delhi,2023-02-24,91,143.56,34.79,60.96,48.75,1.58,8.33
Mumbai,2023-11-01,97,130.93,61.72,84.97,60.18,2.46,35.43
Bangalore,2023-07-11,99,108.86,124.57,19.07,59.37,0.74,58.86
Chennai,2023-09-08,166,162.26,234.64,89.37,25.36,0.6,97.45
Bangalore,2023-08-28,107,43.87,212.06,118.98,60.28,1.9,142.8
Hyderabad,2023-03-02,134,196.13,66.28,85.53,47.69,1.55,106.16
Mumbai,2023-12-31,104,158.69,35.72,103.06,19.59,1.07,71.95
Bangalore,2023-02-18,149,92.68,282.46,86.19,51.23,0.31,136.07
Mumbai,2023-05-09,90,158.24,21.97,11.59,19.57,0.5,62.83
Bangalore,2023-06-01,63,99.69,23.75,37.52,5.48,0.28,44.98
Pune,2023-08-08,176,159.55,292.95,47.69,35.45,2.14,43.88
Chennai,2023-10-28,108,172.09,33.02,76.27,45.84,1.0,50.7
Mumbai,2023-01-07,56,26.42,86.3,89.23,44.77,0.49,132.91
Hyderabad,2023-06-03,90,89.57,92.84,89.04,78.54,0.79,99.86
Delhi,2023-11-01,147,98.15,292.16,74.98,29.26,0.46,26.93
Bangalore,2023-11-23,138,139.91,172.63,117.76,19.74,1.13,83.67
Pune,2023-03-27,122,114.28,191.61,31.01,68.06,1.19,25.44
Kolkata,2023-04-22,54,51.06,47.32,104.13,37.89,1.92,47.14
Pune,2023-10-21,132,163.22,148.59,10.98,63.33,0.66,42.5
Bangalore,2023-06-03,119,72.74,231.89,64.73,17.98,2.22,132.54
Bangalore,2023-09-27,87,55.37,146.35,118.27,62.22,0.26,14.45
Kolkata,2023-02-13,111,112.35,159.39,17.13,53.23,2.09,60.16
Mumbai,2023-07-16,131,193.25,77.05,65.18,24.4,2.02,88.75
Hyderabad,2023-03-13,138,161.6,130.87,110.24,43.58,0.56,105.91
Bangalore,2023-09-20,115,126.56,121.67,108.18,15.17,1.37,91.73
Pune,2023-01-08,155,179.86,203.2,22.49,36.35,1.62,17.1
Ahmedabad,2023-05-17,148,162.68,161.46,116.22,34.59,2.46,101.85
Hyderabad,2023-06-11,111,41.53,266.94,54.16,14.65,0.23,86.16
Chennai,2023-07-15,164,146.68,269.27,14.13,59.06,0.63,129.44
Bangalore,2023-05-14,116,144.95,108.02,59.18,66.09,1.26,56.88
Delhi,2023-05-11,148,177.17,167.12,33.1,10.81,0.4,109.27
Mumbai,2023-06-29,168,182.02,227.11,26.99,49.87,1.2,88.7
Chennai,2023-11-21,163,163.18,256.25,34.21,4.43,1.9,20.42
Mumbai,2023-09-05,45,23.23,68.97,103.41,19.72,2.13,45.5
Pune,2023-03-08,127,141.89,163.54,40.11,18.59,0.28,49.07
Kolkata,2023-05-22,131,181.69,85.17,97.85,6.61,2.27,99.36
Kolkata,2023-09-08,34,10.04,67.34,49.82,31.6,0.72,60.33
Kolkata,2023-02-04,124,88.42,244.66,60.09,3.4,1.17,8.94
Kolkata,2023-08-03,103,34.22,218.15,116.87,66.43,1.81,126.72
Hyderabad,2023-11-23,130,128.06,176.57,77.25,43.55,1.66,70.23
Ahmedabad,2023-11-13,49,22.98,93.73,10.3,46.24,0.85,124.56
Hyderabad,2023-08-15,108,53.01,224.47,73.86,7.03,2.22,132.2
Hyderabad,2023-04-20,138,74.68,296.93,77.01,43.44,2.13,46.37
Bangalore,2023-02-04,114,60.88,240.97,70.94,53.39,0.78,36.93
Bangalore,2023-07-20,171,182.83,207.38,100.37,70.56,1.52,80.03
Pune,2023-11-28,141,183.03,150.04,20.82,28.58,0.58,29.73
Hyderabad,2023-11-03,132,94.6,240.86,78.55,54.76,0.5,38.96
Bangalore,2023-03-08,168,133.92,286.15,74.07,60.0,1.36,96.95
Kolkata,2023-08-02,74,58.33,121.32,59.34,5.56,0.52,45.14
Chennai,2023-04-03,120,99.86,194.31,59.02,36.9,1.29,90.68
Hyderabad,2023-02-18,37,11.46,81.34,9.22,10.43,0.98,121.37
Chennai,2023-07-11,101,107.41,102.18,112.15,32.97,0.4,94.47
Ahmedabad,2023-10-04,106,75.59,162.08,105.54,40.5,1.82,148.96
Hyderabad,2023-05-07,82,62.2,130.48,53.51,34.06,2.29,108.53
Bangalore,2023-08-28,114,66.38,221.16,114.71,58.27,2.18,5.31
Kolkata,2023-08-03,99,17.71,264.05,34.52,53.89,2.04,101.09
Hyderabad,2023-05-27,132,123.3,173.88,108.54,33.53,0.94,113.73
Delhi,2023-10-12,120,138.95,121.34,73.27,2.79,1.66,137.43
Chennai,2023-02-08,164,176.0,222.71,18.86,72.39,0.35,82.43
Ahmedabad,2023-09-15,54,12.22,138.17,38.93,39.91,1.53,11.34
Hyderabad,2023-03-03,109,116.14,116.09,88.85,52.88,2.14,105.41
Delhi,2023-04-09,79,24.75,171.91,104.1,48.04,0.72,60.71
Mumbai,2023-06-05,137,120.06,232.62,16.37,71.39,0.23,58.66
Kolkata,2023-04-10,100,84.67,167.23,63.84,14.92,1.69,11.49
Chennai,2023-07-12,140,189.86,115.14,64.48,31.56,0.22,60.95
Mumbai,2023-05-06,92,123.24,48.35,102.42,43.42,2.14,89.13
Kolkata,2023-11-17,51,30.0,66.86,116.78,19.82,2.45,82.13
Hyderabad,2023-09-17,53,28.87,78.48,111.45,34.3,1.11,50.41
Hyderabad,2023-09-02,126,64.96,272.02,18.36,76.56,0.92,133.82
Bangalore,2023-10-01,182,167.07,295.52,38.17,76.97,1.1,60.9
Ahmedabad,2023-10-05,90,112.87,63.16,68.68,44.25,1.95,125.88
Mumbai,2023-02-11,155,167.09,218.52,25.37,41.58,1.76,39.08
Mumbai,2023-12-25,94,113.52,66.27,72.04,79.98,0.55,123.43
Bangalore,2023-09-30,119,149.57,104.14,42.47,63.82,1.26,110.97
Ahmedabad,2023-10-11,167,171.99,219.05,109.3,12.33,1.56,91.87
Kolkata,2023-06-22,74,97.11,30.63,90.77,44.85,0.33,103.71
Chennai,2023-02-15,114,16.55,291.49,114.15,42.01,0.42,114.42
Kolkata,2023-07-02,80,81.31,100.02,28.37,61.42,1.09,79.13
Chennai,2023-08-30,167,147.89,270.45,57.44,36.59,1.58,90.75
Pune,2023-12-31,143,100.53,298.91,11.84,2.25,1.67,48.27
Ahmedabad,2023-05-27,72,69.26,91.69,8.54,77.78,0.71,111.43
Delhi,2023-01-22,148,140.67,222.36,84.64,12.49,0.89,57.01
Delhi,2023-06-18,71,62.96,79.0,115.11,2.69,2.49,103.14
Chennai,2023-11-23,22,10.44,32.37,44.3,51.37,0.36,5.82
Ahmedabad,2023-07-07,154,135.12,234.51,102.28,49.86,0.4,75.71
Kolkata,2023-09-17,67,87.35,38.48,45.11,10.66,2.06,142.41
Delhi,2023-02-14,155,191.47,166.32,39.45,8.0,1.35,120.2
Ahmedabad,2023-12-24,30,19.54,40.41,51.33,25.03,0.73,45.75
Ahmedabad,2023-08-03,147,186.55,133.43,109.2,27.08,1.3,37.77
Chennai,2023-06-07,168,196.01,188.98,46.15,52.53,0.48,133.86
Pune,2023-02-01,112,95.38,184.04,76.85,7.6,1.77,40.08
